frame_idx,timestamp_sec,x_pixel,y_pixel,x_mm,delta_x_mm,cell_number
188,8.3722,455.9,179.3,1.0651,0.4825,11
189,8.4167,493.9,240.6,0.842,-0.223,9
190,8.4613,523.3,288.4,0.6688,-0.1732,7
191,8.5058,541.9,231.0,0.5593,-0.1095,6
192,8.5503,560.4,191.4,0.4504,-0.1089,5
193,8.5949,575.6,158.5,0.3611,-0.0892,4
194,8.6394,593.4,127.1,0.2567,-0.1044,3
195,8.6839,606.8,114.6,0.1777,-0.0791,2
196,8.7285,610.5,190.5,0.1558,-0.0218,2
197,8.773,579.4,190.5,0.339,0.1831,4
198,8.8175,555.1,189.8,0.4816,0.1426,5
199,8.8621,536.3,188.9,0.5926,0.1111,6
200,8.9066,521.7,186.7,0.6783,0.0856,7
201,8.9511,521.9,149.9,0.6768,-0.0015,7
202,8.9957,510.9,157.0,0.7417,0.0649,8
203,9.0402,542.5,134.9,0.5557,-0.186,6
204,9.0847,406.6,112.2,1.3552,0.7995,14
205,9.1293,402.2,108.9,1.3812,0.0261,-1
206,9.1738,423.9,147.1,1.2537,-0.1275,13
207,9.2183,474.0,226.5,0.9586,-0.2951,10
208,9.2629,510.1,283.7,0.7465,-0.2121,8
209,9.3074,514.2,301.4,0.7221,-0.0244,8
210,9.3519,517.7,314.8,0.7018,-0.0203,8
211,9.3965,507.1,293.4,0.7642,0.0624,8
212,9.441,499.8,281.2,0.8074,0.0431,9
213,9.4855,493.8,271.6,0.8422,0.0349,9
214,9.5301,493.3,276.7,0.8452,0.003,9
215,9.5746,488.6,267.9,0.8732,0.028,9
216,9.6191,484.5,262.1,0.8969,0.0237,9
217,9.6637,496.5,253.9,0.8267,-0.0702,9
218,9.7082,371.4,207.2,1.5622,0.7355,16
219,9.7527,394.3,221.1,1.4276,-0.1345,15
220,9.7973,415.3,238.2,1.3041,-0.1235,14
221,9.8418,430.5,249.6,1.2148,-0.0893,13
222,9.8863,442.4,259.2,1.1444,-0.0703,12
223,9.9309,451.3,265.0,1.0923,-0.0522,11
224,9.9754,459.2,271.9,1.046,-0.0463,11
225,10.0199,476.0,231.9,0.9469,-0.0992,10
226,10.0645,478.9,247.3,0.93,-0.0168,10
227,10.109,422.3,190.0,1.263,0.3329,13
228,10.1535,436.2,211.4,1.1813,-0.0817,12
229,10.1981,447.6,229.7,1.114,-0.0672,12
230,10.2426,454.9,240.2,1.0709,-0.0432,11
231,10.2871,461.8,250.6,1.0305,-0.0404,11
232,10.3317,466.2,256.5,1.0046,-0.0258,11
233,10.3762,471.6,267.7,0.973,-0.0316,10
234,10.4207,471.4,201.6,0.9741,0.001,10
235,10.4653,473.5,218.6,0.9616,-0.0125,10
236,10.5098,482.0,245.1,0.9117,-0.0499,10
237,10.5543,487.8,193.1,0.8774,-0.0344,9
238,10.5989,365.6,156.8,1.5963,0.719,16
239,10.6434,393.1,188.5,1.435,-0.1614,15
240,10.6879,413.0,209.0,1.3179,-0.1171,14
241,10.7325,428.6,224.9,1.226,-0.0919,13
242,10.777,357.5,171.0,1.6441,0.4181,17
243,10.8215,264.8,135.7,2.1897,0.5456,22
244,10.8661,336.0,99.3,1.7709,-0.4188,18
245,10.9106,248.2,79.4,2.2873,0.5164,23
246,10.9551,180.1,65.4,2.6879,0.4007,27
247,10.9997,252.6,122.6,2.2611,-0.4268,23
248,11.0442,283.3,98.1,2.0806,-0.1805,21
249,11.0887,362.0,183.4,1.6174,-0.4632,17
250,11.1333,269.5,147.2,2.1615,0.5441,22
251,11.1778,351.1,218.8,1.6818,-0.4796,17
252,11.2223,414.8,274.5,1.307,-0.3748,14
253,11.2669,471.2,316.2,0.9756,-0.3315,10
254,11.3114,502.7,240.1,0.7897,-0.1859,8
255,11.3559,495.4,226.1,0.8331,0.0434,9
256,11.4005,499.7,170.1,0.8079,-0.0252,9
257,11.445,511.4,138.0,0.7388,-0.0691,8
258,11.4895,500.2,145.7,0.8045,0.0657,9
259,11.5341,491.4,151.6,0.8564,0.0519,9
260,11.5786,483.8,156.2,0.9011,0.0447,10
261,11.6231,509.9,115.9,0.7479,-0.1532,8
